year,week,county,cumulative_cases,inferred_new_cases
2024,34,Manatee,1,0
2024,34,Miami-Dade,16,0
2024,34,Monroe,3,0
2024,34,Orange,2,2
2024,34,Pasco,1,0
2024,35,Hillsborough,3,1
2024,35,Manatee,1,0
2024,35,Miami-Dade,19,3
2024,35,Monroe,3,0
2024,35,Orange,2,0
2024,35,Pasco,1,0
2024,36,Hillsborough,3,0
2024,36,Manatee,1,0
2024,36,Miami-Dade,21,2
2024,36,Monroe,3,0
2024,36,Orange,2,0
2024,36,Pasco,1,0
2024,37,Hillsborough,3,0
2024,37,Manatee,1,0
2024,37,Miami-Dade,22,1
2024,37,Monroe,3,0
2024,37,Orange,2,0
2024,37,Palm Beach,1,1
2024,37,Pasco,3,2
2024,38,Hillsborough,3,0
2024,38,Manatee,1,0
2024,38,Miami-Dade,24,2
2024,38,Monroe,3,0
2024,38,Orange,2,0
2024,38,Palm Beach,1,0
2024,38,Pasco,3,0
2024,39,Broward,1,1
2024,39,Hillsborough,3,0
2024,39,Manatee,1,0
2024,39,Miami-Dade,24,0
2024,39,Monroe,3,0
2024,39,Orange,2,0
2024,39,Palm Beach,2,1
2024,39,Pasco,4,1
2024,40,Broward,1,0
2024,40,Hillsborough,3,0
2024,40,Manatee,1,0
2024,40,Miami-Dade,28,4
2024,40,Monroe,3,0
2024,40,Orange,2,0
2024,40,Palm Beach,2,0
2024,40,Pasco,5,1
2024,41,Broward,1,0
2024,41,Hillsborough,3,0
2024,41,Manatee,1,0
2024,41,Miami-Dade,29,1
2024,41,Monroe,3,0
2024,41,Orange,2,0
2024,41,Palm Beach,3,1
2024,41,Pasco,5,0
2024,42,Broward,2,1
2024,42,Hillsborough,3,0
2024,42,Manatee,1,0
2024,42,Miami-Dade,30,1
2024,42,Monroe,3,0
2024,42,Orange,2,0
2024,42,Palm Beach,3,0
2024,42,Pasco,6,1
2024,43,Broward,2,0
2024,43,Hillsborough,4,1
2024,43,Manatee,1,0
2024,43,Miami-Dade,33,3
2024,43,Monroe,3,0
2024,43,Orange,2,0
2024,43,Palm Beach,3,0
2024,43,Pasco,6,0
2024,43,Sarasota,1,1
2024,44,Broward,2,0
2024,44,Hillsborough,4,0
2024,44,Manatee,1,0
2024,44,Miami-Dade,34,1
2024,44,Monroe,3,0
