dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2022,49,"December 4-10, 2022",22.0,768.0,6.0,55.0,2022-12-04,2022-12-10,2022,49,2022-12-04,2022-12-10,19.7273,19.8171,20.1345,85.6975,0.0034
2022,50,"December 11-17, 2022",25.0,793.0,4.0,59.0,2022-12-11,2022-12-17,2022,50,2022-12-11,2022-12-17,17.6711,17.7079,17.7444,83.7589,0.1176
2022,51,"December 18-24, 2022",31.0,824.0,4.0,63.0,2022-12-18,2022-12-24,2022,51,2022-12-18,2022-12-24,12.5967,12.5883,12.5728,77.8059,0.0785
2022,52,"December 25-31, 2022",13.0,837.0,2.0,65.0,2022-12-25,2022-12-31,2022,52,2022-12-25,2022-12-31,12.176,12.324,12.5517,74.0223,0.0306
2022,1,"January 1-7, 2023",7.0,7.0,0.0,0.0,2023-01-01,2023-01-07,2023,1,2023-01-01,2023-01-07,18.5279,18.6921,18.9394,81.4376,0.0478
2023,1,"January 1-7, 2023",7.0,7.0,0.0,0.0,2023-01-01,2023-01-07,2023,1,2023-01-01,2023-01-07,18.5279,18.6921,18.9394,81.4376,0.0478
2023,2,"January 8-14, 2023",34.0,41.0,3.0,3.0,2023-01-08,2023-01-14,2023,2,2023-01-08,2023-01-14,13.8111,13.9608,14.3547,76.1776,0.0566
2023,3,"January 15-21, 2023",7.0,48.0,0.0,3.0,2023-01-15,2023-01-21,2023,3,2023-01-15,2023-01-21,14.4585,14.6179,15.0896,76.0478,0.0246
2023,4,"January 22-28, 2023",14.0,62.0,0.0,3.0,2023-01-22,2023-01-28,2023,4,2023-01-22,2023-01-28,15.7379,15.7748,15.7814,75.168,0.1174
2023,5,"January 29-February 4, 2023",19.0,81.0,1.0,4.0,2023-01-29,2023-02-04,2023,5,2023-01-29,2023-02-04,19.424,19.4307,19.5487,81.6357,0.0389
2023,6,"February 5-11, 2023",18.0,99.0,0.0,4.0,2023-02-05,2023-02-11,2023,6,2023-02-05,2023-02-11,18.9372,18.997,19.1297,79.4103,0.158
2023,7,"February 12-18, 2023",9.0,108.0,0.0,4.0,2023-02-12,2023-02-18,2023,7,2023-02-12,2023-02-18,17.0224,17.0603,17.2143,73.8413,0.0152
2023,8,"February 19-25, 2023",14.0,122.0,0.0,4.0,2023-02-19,2023-02-25,2023,8,2023-02-19,2023-02-25,21.3203,21.3284,21.485,79.7767,0.0012
2023,9,"February 26-March 4, 2023",2.0,124.0,0.0,4.0,2023-02-26,2023-03-04,2023,9,2023-02-26,2023-03-04,22.2248,22.2157,22.3397,78.015,0.008
2023,10,"March 5-11, 2023",8.0,132.0,0.0,4.0,2023-03-05,2023-03-11,2023,10,2023-03-05,2023-03-11,21.617,21.5041,21.5661,75.0844,0.0311
2023,11,"March 12-18, 2023",9.0,141.0,0.0,4.0,2023-03-12,2023-03-18,2023,11,2023-03-12,2023-03-18,17.8823,17.7705,17.8074,71.7955,0.1553
2023,12,"March 19-25, 2023",4.0,145.0,0.0,4.0,2023-03-19,2023-03-25,2023,12,2023-03-19,2023-03-25,18.1725,17.9932,18.0418,71.2834,0.0133
2023,13,"March 26-April 1, 2023",4.0,149.0,0.0,4.0,2023-03-26,2023-04-01,2023,13,2023-03-26,2023-04-01,22.834,22.6578,22.5832,76.1828,0.0601
2023,14,"April 2-8, 2023",3.0,152.0,1.0,5.0,2023-04-02,2023-04-08,2023,14,2023-04-02,2023-04-08,24.3012,24.098,24.0283,75.5139,0.0385
2023,15,"April 9-15, 2023",2.0,154.0,0.0,5.0,2023-04-09,2023-04-15,2023,15,2023-04-09,2023-04-15,21.5457,21.3766,21.2542,78.5152,0.1691
2023,16,"April 16-22, 2023",2.0,156.0,0.0,5.0,2023-04-16,2023-04-22,2023,16,2023-04-16,2023-04-22,21.6594,21.5224,21.5723,70.7847,0.1371
2023,17,"April 23-29, 2023",2.0,158.0,0.0,5.0,2023-04-23,2023-04-29,2023,17,2023-04-23,2023-04-29,23.0615,22.9055,22.8368,79.299,0.2372
2023,18,"April 30-May 6, 2023",2.0,160.0,0.0,5.0,2023-04-30,2023-05-06,2023,18,2023-04-30,2023-05-06,22.3388,22.1945,22.2564,68.4821,0.0522
2023,19,"May 7-13, 2023",1.0,161.0,0.0,5.0,2023-05-07,2023-05-13,2023,19,2023-05-07,2023-05-13,24.7783,24.5097,24.5288,74.1115,0.0771
2023,20,"May 14-20, 2023",6.0,167.0,0.0,5.0,2023-05-14,2023-05-20,2023,20,2023-05-14,2023-05-20,25.1617,25.0176,25.0298,77.6838,0.1424
2023,21,"May 21-27, 2023",3.0,170.0,0.0,5.0,2023-05-21,2023-05-27,2023,21,2023-05-21,2023-05-27,23.8943,23.5513,23.5229,82.2747,0.4063
2023,22,"May 28-June 3, 2023",3.0,173.0,0.0,5.0,2023-05-28,2023-06-03,2023,22,2023-05-28,2023-06-03,24.3822,23.9928,24.0397,78.2071,0.2169
2023,23,"June 4-10, 2023",4.0,177.0,0.0,5.0,2023-06-04,2023-06-10,2023,23,2023-06-04,2023-06-10,25.3967,25.117,25.1331,79.2302,0.1544
2023,24,"June 11-17, 2023",4.0,181.0,0.0,5.0,2023-06-11,2023-06-17,2023,24,2023-06-11,2023-06-17,26.8514,26.6405,26.6154,80.3157,0.2937
2023,25,"June 18-24, 2023",12.0,193.0,0.0,5.0,2023-06-18,2023-06-24,2023,25,2023-06-18,2023-06-24,25.9528,25.7427,25.7191,83.1949,0.4834
2023,26,"June 25-July 1, 2023",1.0,194.0,0.0,5.0,2023-06-25,2023-07-01,2023,26,2023-06-25,2023-07-01,28.2067,27.9247,27.9789,77.3144,0.1115
2023,27,"July 2-8, 2023",1.0,195.0,0.0,5.0,2023-07-02,2023-07-08,,,,,,,,,
2023,28,"July 9-15, 2023",16.0,211.0,1.0,6.0,2023-07-09,2023-07-15,,,,,,,,,
2023,29,"July 16-22, 2023",18.0,229.0,2.0,8.0,2023-07-16,2023-07-22,,,,,,,,,
2023,30,"July 23-29, 2023",11.0,240.0,1.0,9.0,2023-07-23,2023-07-29,,,,,,,,,
2023,31,"July 30-August 5, 2023",43.0,283.0,4.0,13.0,2023-07-30,2023-08-05,2023,31,2023-07-30,2023-08-05,27.8272,27.5055,27.5405,83.0522,0.2251
2023,32,"August 6-12, 2023",14.0,297.0,1.0,14.0,2023-08-06,2023-08-12,2023,32,2023-08-06,2023-08-12,29.737,29.4462,29.4744,79.9501,0.1135
2023,33,"August 13-19, 2023",20.0,317.0,4.0,18.0,2023-08-13,2023-08-19,2023,33,2023-08-13,2023-08-19,28.1007,27.8134,27.8229,82.4658,0.2451
2023,34,"August 20-26, 2023",20.0,337.0,1.0,19.0,2023-08-20,2023-08-26,2023,34,2023-08-20,2023-08-26,28.3348,28.1123,28.1617,78.4835,0.0528
