Year,Week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2025,27,2025-07-06,2025-07-12,27.6081,27.2945,27.3745,79.8768,0.1632
2025,28,2025-07-13,2025-07-19,27.5702,27.2187,27.3170,80.8220,0.2968
2025,29,2025-07-20,2025-07-26,28.1056,27.8010,27.8659,80.6364,0.2368
2025,30,2025-07-27,2025-08-02,29.3327,29.0153,29.1092,77.7265,0.1587
2025,31,2025-08-03,2025-08-09,27.2832,26.9639,26.9400,82.7079,0.3250
2025,32,2025-08-10,2025-08-16,28.2415,27.9156,27.9529,81.4164,0.1834
2025,33,2025-08-17,2025-08-23,27.4486,27.1889,27.2167,84.2037,0.2191
2025,34,2025-08-24,2025-08-30,26.5354,26.3186,26.3740,83.8442,0.1966
2025,35,2025-08-31,2025-09-06,26.4798,26.2415,26.2514,82.4021,0.1329
2025,36,2025-09-07,2025-09-13,25.5289,25.4348,25.4077,83.2771,0.2300
2025,37,2025-09-14,2025-09-20,25.1832,25.1849,25.2835,78.5724,0.0988
2025,38,2025-09-21,2025-09-27,26.4239,26.1743,26.2870,82.9706,0.1639
2025,39,2025-09-28,2025-10-04,25.1005,25.0441,25.0326,83.0317,0.1094
2025,40,2025-10-05,2025-10-11,24.8061,24.6413,24.5973,86.6265,0.2025
2025,41,2025-10-12,2025-10-18,22.2070,22.1309,22.3988,76.4058,0.0036
2025,42,2025-10-19,2025-10-25,22.2010,22.1491,22.4038,77.4380,0.0583
2025,43,2025-10-26,2025-11-01,19.2773,19.1376,19.3093,81.5978,0.1196
2025,44,2025-11-02,2025-11-08,19.6127,19.5837,19.9621,79.2492,0.0053
2025,45,2025-11-09,2025-11-15,15.0113,15.0026,15.4909,71.1410,0.0190
2025,46,2025-11-16,2025-11-22,19.2922,19.3520,20.0149,79.5219,0.0025
2025,47,2025-11-23,2025-11-29,18.3684,18.3413,18.6719,75.7543,0.0223
2025,48,2025-11-30,2025-12-06,18.9259,18.8510,19.0138,84.5581,0.0989
2025,49,2025-12-07,2025-12-13,15.3000,15.2363,15.5663,84.0417,0.1502
2025,50,2025-12-14,2025-12-20,16.5043,16.4813,16.7913,78.7507,0.0261
2025,51,2025-12-21,2025-12-27,17.9671,18.0015,18.5578,81.0968,0.0026
2025,52,2025-12-28,2026-01-03,13.0950,13.0405,13.4223,71.7222,0.0049
2026,0,2026-01-01,2026-01-03,12.8788,13.0286,13.7155,77.9975,0.1316
2026,1,2026-01-04,2026-01-10,18.6868,18.6161,19.0047,85.5037,0.0104
2026,2,2026-01-11,2026-01-17,13.2721,13.1936,13.4993,74.1532,0.0434
2026,3,2026-01-18,2026-01-24,13.9379,13.8706,14.1541,76.3400,0.0373
2026,4,2026-01-25,2026-01-31,11.0876,11.0746,11.3619,69.5293,0.0352
2026,5,2026-02-01,2026-02-07,8.6060,8.6310,9.1629,66.2482,0.0333
2026,6,2026-02-08,2026-02-14,15.7532,15.7432,16.3914,74.2776,0.0026
2026,7,2026-02-15,2026-02-21,20.4823,20.3546,20.6639,79.0086,0.0896
2026,8,2026-02-22,2026-02-28,14.9470,14.8171,15.2105,70.6108,0.1104
